movie_id,title,genres,genre_ids,release_year,release_date,runtime,rating,vote_count,popularity,overview,poster_path,backdrop_path,original_language,original_title,adult,video
TMDB891644,Zero,Action|Thriller,"28, 53",2025,2025-04-11,0,5.967,30,33.7737,"Two Americans wake up in Dakar, Senegal, with bombs strapped to their chests ticking down from ten hours. Guided by a threatening voice on the phone, these men complete a series of violent tasks that spark widespread protest against Western influence in the city.",/5bo30pUJGUpvNP8XS75T3Al8V1R.jpg,/8h3Ev1xf3WBrzHD4fNOGs790GWZ.jpg,en,Zero,False,False
TMDB1425045,Brick,Thriller|Science Fiction,"53, 878",2025,2025-07-02,0,5.778,680,7.7373,"When a mysterious brick wall encloses their apartment building overnight, Tim and Olivia must unite with their wary neighbors to get out alive.",/vTX9CxFNEQOlfXsgqec7xmc5UtD.jpg,/apNfldKI3RiaukNwJzr8EjRG7Wc.jpg,de,Brick,False,False
TMDB648878,Eddington,Western|Comedy|Crime,"37, 35, 80",2025,2025-07-16,0,6.4,681,8.4281,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.",/4GIqZUgPZ146BhibsPHMHef2nXX.jpg,/5PJkK2iVXRO1ydrtgwuJdevmnOe.jpg,en,Eddington,False,False
TMDB1140535,Presence,Horror|Thriller|Drama,"27, 53, 18",2025,2025-01-17,0,6.116,692,9.5668,"A couple and their children move into a seemingly normal suburban home. When strange events occur, they begin to believe there is something else in the house with them. The presence is about to disrupt their lives in unimaginable ways.",/xZIGHoHj0DF0zdibwa66cRWHdHO.jpg,/eT1L3IVcHUL58wLn48E5dxlea3Z.jpg,en,Presence,False,False
TMDB1175942,The Bad Guys 2,Family|Comedy|Crime|Adventure|Animation,"10751, 35, 80, 12, 16",2025,2025-07-24,0,7.672,695,22.8686,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",/26oSPnq0ct59l07QOXZKyzsiRtN.jpg,/8FWLJHuWB72UXBmiMtxwTvQVumN.jpg,en,The Bad Guys 2,False,False
TMDB1180831,Troll 2,Action|Fantasy|Thriller,"28, 14, 53",2025,2025-11-30,0,6.5,427,45.2978,"When a dangerous new troll unleashes devastation across their homeland, Nora, Andreas and Major Kris embark on their most perilous mission yet.",/p6xAExLNFbHcLfvSuvLPoM8aqZU.jpg,/lZYMXx74pWmbj5Q5jp1QaMvmuuR.jpg,no,Troll 2,False,False
TMDB1511417,Bāhubali: The Epic,Action|Drama,"28, 18",2025,2025-10-29,0,5.879,33,56.3375,"When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient kingdom of Mahishmati, ruled by a cruel tyrant, haunted by rebellion, and bound to his past. What begins as a quest for love soon unravels a legacy of betrayal, sacrifice, and a forgotten prince.",/z9YIo2qscyaXYgRqIdRJtND3bw8.jpg,/wCwZ4ljSsWyZyTiyk1tGQtBHTDx.jpg,te,Bāhubali: The Epic,False,False
TMDB1448560,Wildcat,Action|Thriller,"28, 53",2025,2025-11-19,0,6.191,128,59.8574,An ex-black ops team reunite to pull off a desperate heist in order to save the life of their leader’s eight-year-old daughter.,/h893ImjM6Fsv5DFhKJdlZFZIJno.jpg,/pAyImoslSnpMgjRwhaS5ZEdl8UI.jpg,en,Wildcat,False,False
TMDB1419406,The Shadow's Edge,Action|Crime|Drama|Thriller,"28, 80, 18, 53",2025,2025-08-16,0,7.211,481,106.7239,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,/tn95fumbkVAgXjOuw9CQOg0aYQz.jpg,zh,The Shadow's Edge,False,False
TMDB1353333,Mouseboat Massacre,Horror,27,2025,2025-05-09,0,5.446,28,49.1182,The story follows a young woman battling a drug addiction who suddenly begins to see a mutated mouse human hybrid who infests her life. Those around her begin to drop like flies.,/ctKqevqOwbeVg5GLQLu5VvnCjan.jpg,/wt0gb7ISUf8IyaJ4tnZVltvWoo7.jpg,en,Mouseboat Massacre,False,False
